title,year
SOLAR ENERGY  related term(s)  Power Resources,2023
SOLAR ENERGY INDUSTRIES ASSOCIATION,2023
"SOLANO COUNTY, CA",2023
"SOLANO, CA",2023
SOJOURNERS (publication),2023
"SOILEAU, WALTER, JR.",2023
SOIL CONSERVATION AND REGENERATION EDUCATION (CARE) ACT,2023
"SOHN, GIGI B.",2023
"SOERIPTO, JANTI",2023
"SODERSTROM, KARL",2023
SOCIETY FOR HUMAN RESOURCE MANAGEMENT,2023
SOCIAL WORK MONTH,2023
SOCIAL SECURITY  related term(s)  Centers for Medicare & Medicaid Services; Public Welfare Programs,2023
SOCIAL SECURITY EXPANSION ACT,2023
SOCIAL SECURITY CHILD PROTECTION ACT,2023
SOCIAL SECURITY CHECK TAX CUT ACT,2023
SOCIAL SECURITY CAREGIVER CREDIT ACT,2023
SOCIAL SECURITY ADMINISTRATION,2023
SOCIAL SECURITY ACT,2023
SOCIAL SECURITY 2100 ACT,2023
SOCIAL SCIENCE & MEDICINE (publication),2023
SOCIAL MEDIA BANK RUN ACT,2023
SOCIAL CUSTOMS,2023
"SOARES, SHAWN",2023
"SO SO DEF RECORDS, INC.",2023
"SNYDER, LAMONT S.",2023
"SNYDER COUNTY, PA",2023
"SNOW, WILLIAM A.",2023
"SNOW HILL, NC",2023
"SNIPES, BRENDA C.",2023
SNAP SECOND CHANCE ACT,2023
SNAP NEXT STEP ACT,2023
SNAP EDUCATION ALLOCATION MODERNIZATION ACT,2023
SNAP E&T ENHANCEMENTS ACT,2023
SNAP BACK INACCURATE SNAP PAYMENTS ACT,2023
"SMUCKER, LLOYD (a Representative from Pennsylvania)",2023
"SMOOT, KODY",2023
"SMOLDON, RODNEY",2023
SMOKE EXPOSURE RESEARCH ACT,2023
SMOKE EXPOSURE CROP INSURANCE ACT,2023
SMOKE AND HEAT READY COMMUNITIES ACT,2023
"SMITS, HANNEKE",2023
SMITHSONIAN INSTITUTION,2023
SMITHSONIAN AMERICAN WOMEN’S HISTORY MUSEUM COUNCIL,2023
"SMITH, WYNTER C.",2023
"SMITH-WILLIAMS, KELLY",2023
"SMITH, WILLARD D.",2023
"SMITH, VIRGINIA",2023
"SMITH, VERNON",2023
"SMITH, VENTURE",2023
"SMITH, TINA (a Senator from Minnesota)",2023
"SMITH, SUZANNE",2023
"SMITH, STEPHEN G.",2023
"SMITH, ROBERT",2023
SMITH RIVER NATIONAL RECREATION AREA ACT,2023
SMITH RIVER NATIONAL RECREATION AREA EXPANSION ACT,2023
"SMITH, RHONDA ROCHON",2023
"SMITH, RENZO",2023
"SMITH, RANDY",2023
"SMITH, QUINTON R.",2023
"SMITH, PHYLLIS",2023
"SMITH, MIKE",2023
"SMITH, MICHAEL",2023
"SMITH, MICAH W.J.",2023
"SMITH, MARY E. RIVERS",2023
"SMITH, MARY",2023
"SMITH, MARIO",2023
"SMITH, MARCUS",2023
"SMITH, LESLIE",2023
"SMITH, LARRY D.",2023
"SMITH, L.C. (BUCKSHOT)",2023
"SMITH, JOHNATHAN",2023
"SMITH, JOHN L., JR.",2023
"SMITH, JOHN L.",2023
"SMITH, JIM",2023
"SMITH, JEANNETTE (JAN)",2023
"SMITH, JASON (a Representative from Missouri)",2023
"SMITH, JACQUELINE DELORISE",2023
"SMITH, ISABEL R.",2023
"SMITH, HOWARD W., III",2023
"SMITH, HAMPTON (HAMP)",2023
"SMITH, GERALD (BEAR)",2023
"SMITH, GEORGE R., JR. (BOB)",2023
"SMITH, FREDERICK W.",2023
"SMITH, FRANK F.",2023
"SMITH, FRANCIS A.",2023
SMITH FAMILY,2023
"SMITH, ERIC M.",2023
"SMITH, EDWIN F.",2023
"SMITH, EARL, JR.",2023
"SMITH, EARL",2023
"SMITH, DAWN",2023
"SMITH, DAVID",2023
"SMITH, CHRISTOPHER H. (a Representative from New Jersey)",2023
"SMITH, CHRISTOPHER",2023
"SMITH, CHRISTINA ANDERSON",2023
"SMITH, CARLTON C.",2023
"SMITH, BYRON T.",2023
"SMITH, BRIAN",2023
"SMITH, BRAD",2023
"SMITH, BOBBY (BLUE)",2023
"SMITH, BETTY HUGHES",2023
"SMITH, BEN",2023
"SMITH, AUDREY",2023
"SMITH, ANDREW J.",2023
"SMITH, ALLEN",2023
"SMITH, ALAN",2023
"SMITH, ADRIAN (a Representative from Nebraska)",2023
"SMITH, ADAM (a Representative from Washington)",2023
"SMITH, AARON",2023
"SMILEY, TX",2023
"SMILEY, HANNAH",2023
"SMILEY, FRANKIE",2023
"SMIGLEWSKI, DAVID",2023
"SMELTZ, JOHN W. (JACK)",2023
"SMEDLEY, JASON",2023
SMARTER SENTENCING ACT,2023
SMARTER PRETRIAL DETENTION FOR DRUG CHARGES ACT,2023
SMART SHIP REPAIR ACT,2023
SMART SENTENCING ADJUSTMENTS ACT,2023
"SMART, FALLON",2023
"SMARR, WILLIAM",2023
"SMARKUSKY, MAEGAN",2023
"SMALLS, ROBERT (a former Representative from South Carolina)",2023
SMALL REFINERY RELIEF ACT,2023
"SMALL, NATHAN",2023
SMALL FARM CONSERVATION ACT,2023
SMALL ENTITY UPDATE ACT,2023
SMALL BUSINESSES IN FOR-HIRE TRANSPORTATION WEEK,2023
SMALL BUSINESS WORKFORCE PIPELINE ACT,2023
SMALL BUSINESS WILDFIRE SMOKE RECOVERY ACT,2023
SMALL BUSINESS TECHNOLOGICAL ADVANCEMENT ACT,2023
SMALL BUSINESS TAXPAYER BILL OF RIGHTS ACT,2023
SMALL BUSINESS TAX EQUITY ACT,2023
SMALL BUSINESS  related term(s)  Business and Industry,2023
SMALL BUSINESS REGULATORY REDUCTION ACT,2023
SMALL BUSINESS REGULATORY FLEXIBILITY IMPROVEMENTS ACT,2023
SMALL BUSINESS PAYMENT FOR PERFORMANCE ACT,2023
SMALL BUSINESS PAPERWORK SAVINGS ACT,2023
SMALL BUSINESS JOBS ACT,2023
SMALL BUSINESS INVESTMENT ACT,2023
SMALL BUSINESS INNOVATION VOUCHER ACT,2023
SMALL BUSINESS GROWTH ACT,2023
SMALL BUSINESS FLEXIBILITY ACT,2023
SMALL BUSINESS FINANCING DISCLOSURE ACT,2023
SMALL BUSINESS ENERGY LOAN ENHANCEMENT ACT,2023
SMALL BUSINESS ECONOMIC POLICY ACT,2023
SMALL BUSINESS DISASTER DAMAGE FAIRNESS ACT,2023
SMALL BUSINESS DEVELOPMENT CENTERS IMPROVEMENT ACT,2023
SMALL BUSINESS CREDIT PROTECTION ACT,2023
SMALL BUSINESS CONTRACTING TRANSPARENCY ACT,2023
SMALL BUSINESS CHILD CARE INVESTMENT ACT,2023
SMALL BUSINESS ADVOCACY IMPROVEMENTS ACT,2023
SMALL BUSINESS ADMINISTRATION RURAL PERFORMANCE REPORT ACT,2023
SMALL BUSINESS ADMINISTRATION,2023
SMALL BUSINESS ACT,2023
SMALL BUSINESS 7(A) LOAN AGENT TRANSPARENCY ACT,2023
"SLYTER, DONALD (DOC)",2023
SLOVAK REPUBLIC,2023
"SLOTKIN, ELISSA (a Representative from Michigan)",2023
"SLOSS, STANLEY",2023
"SLOM, SAM",2023
SLOAN CANYON NATIONAL CONSERVATION AREA ACT,2023
SLOAN CANYON CONSERVATION AND HORIZON LATERAL WATER PIPELINE ACT,2023
"SLIFE, JAMES C.",2023
"SLIFE, ALAINA",2023
SLEEP AWARENESS WEEK,2023
"SLAY, ARIANNE",2023
SLAVERY REMEMBRANCE DAY,2023
"SLAUGHTER, REBECCA K.",2023
"SLAUGHTER, JESSE",2023
"SLATTERY, JOHN (GENE)",2023
"SLATTEN, DEB",2023
"SLATER, SAMUEL H.",2023
"SLATER, LINDSAY",2023
"SLAIMAN, MAX",2023
"SLAGLE, RON",2023
"SLADE, SCOTT",2023
"SLACK, LLOYD",2023
"SLACIK, CLAUDIA",2023
SKY TAVERN (organization),2023
SKY NEWS (British publication),2023
"SKONOS, CAAL",2023
"SKLEDER, ANNE",2023
"SKIPPER, SHERRI",2023
"SKINNER, NANCY",2023
"SKINNER, ASHLEY",2023
SKILLSUSA INC.,2023
"SKILLING, TOM",2023
SKI HILL RESOURCES FOR ECONOMIC DEVELOPMENT ACT,2023
"SKELTON, RED",2023
"SKELTON, HAROLD",2023
"SKELLY, SHAWN",2023
"SKELLY, KRASHELLE",2023
"SKELLY, ELEANOR",2023
"SKEHAN, PETER",2023
"SKARPELOS, ALEXA I.",2023
"SKARPALEZOS, GEORGE, SR.",2023
"SKAMANIA COUNTY, WA",2023
"SKALA, ED",2023
"SKAGIT COUNTY, WA",2023
"SKAGGS, JEFF",2023
"SKAGGS, DEBORAH",2023
SIX PACK VOLLEYBALL CLUB (organization),2023
"SITKIN, LISA",2023
SISTERS OF PROVIDENCE MINISTRY CORP.,2023
"SISTERS OF PROVIDENCE, INC.",2023
SISTER CITY TRANSPARENCY ACT,2023
"SISKIND, EDEN",2023
"SIOUX FALLS, SD",2023
"SINODINOS, ARTHUR",2023
"SINHA, KAUSHAL",2023
"SINGLETON, CHUCK AND CHARLYN",2023
"SINGLETON, ALLEN",2023
"SINGHAL, NIKITA",2023
"SINGH, MADHULIKA",2023
"SINGH, KRISHNA (KRIS)",2023
"SINGH, GIANI J.",2023
"SINGH, DEEPIKA",2023
"SINGH, ARMAAN",2023
"SINGER, JODY",2023
"SINGAPORE, REPUBLIC OF",2023
"SINEMA, KYRSTEN (a Senator from Arizona)",2023
SINCLAIR OIL CORP.,2023
"SIMS, TIM",2023
"SIMS, JOHN",2023
"SIMS, DOUGLAS A., II",2023
"SIMPSON, SAUL, JR.",2023
"SIMPSON, MICHAEL K. (a Representative from Idaho)",2023
"SIMPSON, LORI",2023
"SIMPSON, JOLEA",2023
"SIMPSON, GOLDIE",2023
SIMPSON COLLEGE,2023
"SIMPSON, CHARLIE, JR.",2023
"SIMPSON, CHARLES E.",2023
"SIMPSON, CHARLES",2023
"SIMPSON, BOB",2023
SIMPLIFYING GRANTS ACT,2023
"SIMPLIFY, DON’T AMPLIFY THE IRS ACT",2023
SIMPLIFY AUTOMATIC FILING EXTENSIONS (SAFE) ACT,2023
"SIMONI, RALPH M.",2023
"SIMON, WADE",2023
"SIMON, SYLVAN",2023
"SIMON PROPERTY GROUP, INC.",2023
"SIMON, PAUL (a former Senator from Illinois)",2023
"SIMON, MICHAEL C.",2023
"SIMON, LOGAN",2023
"SIMON, BERNICE",2023
"SIMMONS, WES",2023
"SIMMONS, JAMES E., JR.",2023
"SIMMONS, JAMES",2023
"SIMMONS, DANIEL L., SR.",2023
"SIMMONS, COREY A.",2023
"SIMMONS, CARRIE L. HAMILTON",2023
"SIMERLY, MARK T.",2023
"SILVERSTEIN, ROBERT",2023
"SILVERS, ROBERT P.",2023
"SILVERII, IAN",2023
"SILVERII, DAVIS",2023
"SILVER, TED B.",2023
SILVER CLIFF COMMUNITY ACT,2023
"SILVER CLIFF, CO",2023
"SILVER CITY, MS",2023
"SILVA RODRIGUEZ, CESAR C.",2023
"SILVA, MARTA",2023
"SILVA, ERICK",2023
"SILSBY, LARRY",2023
"SILFEN, MOLLY R.",2023
SILETZ RESERVATION ACT,2023
"SILBAS, MONICA LEE",2023
"SILAS, LAWRENCE",2023
SIGNIFICANT TRANSNATIONAL CRIMINAL ORGANIZATION DESIGNATION ACT,2023
"SIGMUND, TOM",2023
"SIGMAN, LYDIA",2023
"SIFUENTES ARBIRIO, LUISA M.",2023
"SIFUENTES ARBIRIO, IVANA A.",2023
"SIFF, JOSEPH T.",2023
"SIEVERS, LUKE",2023
"SIERZANT, VERONICA",2023
"SIERRA, SILVIA",2023
"SIERRA LEONE, REPUBLIC OF",2023
"SIERCO, NICHOLAS",2023
"SIENKIEWICZ, ROBERT",2023
"SIELER, AOWYN",2023
"SIEGEL, RACHEL",2023
"SIEG, SETAREH",2023
"SIDLES, DARLA",2023
SICKLE CELL DISEASE AWARENESS MONTH,2023
"SICKLE CELL DISEASE AND OTHER HERITABLE BLOOD DISORDERS RESEARCH, SURVEILLANCE, PREVENTION, AND TREATMENT ACT",2023
"SICKEY, ERNEST",2023
"SICILIANO, JOHN",2023
"SIACHITEMA, PANASHÉ",2023
"SHYMANSKY, TERESA",2023
SHUTDOWN GUIDANCE FOR FINANCIAL INSTITUTIONS ACT,2023
SHUTDOWN ACCOUNTABILITY RESOLUTION,2023
"SHUSTER, BUD (a former Representative from Pennsylvania)",2023
"SHURACK, HALEY",2023
"SHUMATE, CHARLES",2023
"SHUMAN, JEAN",2023
"SHUMAN, JAKE",2023
"SHUFF, BO",2023
"SHUEYVILLE, IA",2023
SHRINERS INTERNATIONAL,2023
"SHREWSBURY, MA",2023
"SHREVE, WICKLIFFE",2023
"SHOUN, JAMES (REX)",2023
"SHOSHONI, WY",2023
"SHORTINO, ELIZABETH",2023
"SHORT, ROBERT J. (DUKE)",2023
"SHORT, MICHAEL",2023
"SHOPTEESE, ELWIN",2023
"SHOPE, JEREMY",2023
"SHONE, GEORGE H.",2023
"SHOGAN, COLLEEN J.",2023
SHOE INDUSTRY,2023
"SHOCKLEY, RAYMOND A.",2023
"SHLIMBAUM, TERRY E.",2023
"SHIVLEY, CAMERON",2023
"SHISTLE, THEODORE (TJ)",2023
"SHISLER, ROBERT J.",2023
"SHISLER, ROBERT",2023
"SHIROMA, HAL",2023
"SHIRLEY, ERIC P.",2023
"SHIPTON, DONNA D.",2023
SHIPS AND VESSELS  related term(s)  Merchant Marine Industry; Recreational Vehicles,2023
SHIPPING INDUSTRY  related term(s)  Cargo Transportation; Ships and Vessels,2023
"SHIPP, BILL",2023
"SHIPLEY, JAMES L.",2023
"SHIPE, GREG",2023
"SHINNEY, CAROLINE",2023
"SHINHOLSER, JOHN",2023
"SHINGLEHOUSE, PA",2023
"SHINE KERR, DELORES",2023
"SHIN, KEVIN",2023
"SHILLING, JUSTIN",2023
"SHIFFRIN, MIKAELA",2023
"SHIFERAW, AGONAFER",2023
"SHIELDS, DONALD A.",2023
SHIELDING CHILDREN’S RETINAS FROM EGREGIOUS EXPOSURE ON THE NET (SCREEN) ACT,2023
"SHEVCHENKO, VITALY",2023
"SHERRILL, MIKIE (a Representative from New Jersey)",2023
"SHERRILL, DEMONTE",2023
"SHERMAN, WENDY",2023
"SHERMAN, LARRY",2023
"SHERMAN, CHERYL",2023
"SHERMAN, BRAD (a Representative from California)",2023
"SHERIDAN, WY",2023
"SHERIDAN, JOSEPH",2023
"SHEPPARD, MADISON",2023
"SHEPLER, WILLIAM",2023
"SHEPHERD, KENNY W.",2023
"SHEPHERD, GLORIA MORGAN",2023
SHENANDOAH MOUNTAIN ACT,2023
"SHENANDOAH COUNTY, VA",2023
"SHENAI, KAMALAKAR",2023
"SHELTRA, RUSS",2023
"SHELTON, CARL E., JR.",2023
"SHELLY, BEN",2023
"SHELLEY, GWYN",2023
"SHELL, JOHN",2023
"SHELDON, MEL, JR.",2023
"SHELBYVILLE, IN",2023
"SHELBY, NC",2023
"SHELBY, LINDEN",2023
"SHELBY COUNTY, IN",2023
"SHELBY COUNTY, AL",2023
"SHELANDER, ALBERT",2023
"SHEGOG, JOE, JR.",2023
"SHEEHAN, M. LOURDES",2023
"SHEAR, WILLIAM B.",2023
"SHEA, DOROTHY C.",2023
SHE LEADS AMERICA (organization),2023
"SHAW, LESTER",2023
"SHAW, JOHN E.",2023
"SHAW, JAMES",2023
"SHAW, GABRIEL L., JR.",2023
"SHAW, ALAN",2023
"SHARROW, RICHARD M.",2023
"SHARPTON, ALFRED C.",2023
"SHARPE, DAVID L.",2023
"SHARP, IRA",2023
"SHARP, ALYSON",2023
"SHARMAHD, JAMSHID",2023
"SHARMA, MOH",2023
SHAREHOLDER POLITICAL TRANSPARENCY ACT,2023
SHARE THE SAVINGS WITH SENIORS ACT,2023
"SHAPIRO, JESSICA",2023
"SHAPERO, SUSAN",2023
"SHANNON, IRIS",2023
"SHANKSVILLE, PA",2023
"SHANKS, DOUGLAS W.",2023
"SHANKAR, RAVI",2023
"SHANER, LINDA DALE",2023
"SHAM, STEPHEN",2023
"SHAKOPEE, MN",2023
"SHAHNAVAZ, NOAH J.",2023
"SHAHNAVAZ, NOAH",2023
"SHAHEEN, JEANNE (a Senator from New Hampshire)",2023
"SHAH, NITIN",2023
"SHAH, MAYUR",2023
"SHAFIK, MINOUCHE",2023
"SHAFER, EMMA",2023
"SHADY HILLS, FL",2023
"SHACKLEY, LEAH",2023
"SGROI, KENNETH",2023
"SGAMBELLURI, IRENE PEREZ PLOKE",2023
"SEYMOUR, THOMAS H.",2023
"SEYMOUR JOHNSON AFB, NC",2023
"SEYMOUR, IN",2023
SEXUAL HARASSMENT,2023
SEXUAL DISCRIMINATION see Discrimination,2023
"SEXTON, WILLIAM P.",2023
"SEXTON, MADDY",2023
"SEXTON, HARRY",2023
SEX ED FOR ALL MONTH,2023
"SEWELL, TERRI A. (a Representative from Alabama)",2023
SEWAGE DISPOSAL  related term(s)  Refuse Disposal,2023
"SEVERINO, CARRIE CAMPBELL",2023
SEVEN RIDGES AG SERVICE LLC,2023
SETTLEMENT AGREEMENT INFORMATION DATABASE ACT,2023
SETON HALL UNIVERSITY,2023
"SESTRICH, CLINT",2023
"SESSIONS, PETE (a Representative from Texas)",2023
SERVICEMEN’S READJUSTMENT ACT,2023
SERVICEMEMBERS CIVIL RELIEF ACT,2023
SERVICEMEMBER ENROLLMENT AND READMISSION FOR VALUABLE EDUCATION (SERVE) ACT,2023
SERVICEMEMBER EMPLOYMENT PROTECTION ACT,2023
SERVICE STARTS AT HOME ACT,2023
SERVICE EMPLOYEES INTERNATIONAL UNION,2023
SERVICE DOGS ASSISTING VETERANS ACT (SAVES) ACT,2023
SERVICE-DISABLED VETERAN OPPORTUNITIES IN SMALL BUSINESS ACT,2023
SERVICE CONTRACT MODERNIZATION ACT,2023
"SERVE THE PEOPLE, NOT THE SWAMP ACT",2023
"SERRANO, SYLVIA",2023
"SERRANO, EVELYN",2023
"SERNA, MARCELINO",2023
"SERMONE, SANDRA BEDROSIAN",2023
SERGEANT STEVE OWENS DEFENDING OUR DEFENDERS ACT see Defending Our Defenders Act,2023
SERGEANT FIRST CLASS HEATH ROBINSON HONORING OUR PROMISE TO ADDRESS COMPREHENSIVE TOXICS (HONORING OUR PACT) ACT see Honoring Our Promise To Address Comprehensive Toxics (Honoring Our PACT) Act,2023
"SERBIA, REPUBLIC OF",2023
"SER FAMILIA, INC.",2023
"SEPULVEDA, NELSON L.",2023
SEPTEMBER 11 DAY OF REMEMBRANCE,2023
"SEPPANEN, GREGORY J.",2023
SEPARATION OF POWERS RESTORATION ACT,2023
SEPARATION OF POWERS RESTORATION ACT (SOPRA),2023
SENTINEL NUCLEAR DETERRENCE ACT,2023
"SENTER, MARK",2023
SENSIBLE CLASSIFICATION ACT,2023
SENIOR SECURITY ACT,2023
SENIOR NUTRITION TASK FORCE ACT,2023
SENIOR LEGAL HOTLINE ACT,2023
SENIOR HUNGER PREVENTION ACT,2023
SENIOR CITIZENS,2023
"SENEGAL, REPUBLIC OF",2023
"SENBET, SISAY",2023
SENATOR PAUL SIMON STUDY ABROAD PROGRAM ACT,2023
SENATE  related term(s)  Committees of the Senate; Legislative Branch of the Government; Members of Congress; Votes in Senate,2023
SENATE NATIONAL SECURITY WORKING GROUP,2023
SENATE DRESS CODE RESOLUTION,2023
"SEMPER, JAMEL",2023
SEMIQUINCENTENNIAL CONGRESSIONAL TIME CAPSULE ACT,2023
"SEMINOLE, FL",2023
"SEMINOLE COUNTY, FL",2023
"SELMA, AL",2023
"SELLICK, JANELLE",2023
"SELLERSVILLE, PA",2023
"SELLERSBURG, IN",2023
"SELLERS, RUTH",2023
"SELLERS, JOSEPH, JR.",2023
"SELLARS, PAUL T.",2023
"SELL, CARL",2023
"SELKEN, LAURA",2023
"SELICO, CONSTANCE MARRIOTT",2023
"SELFRIDGE AIR NATIONAL GUARD BASE, MI",2023
"SELF, TENNIE SUDDUTH",2023
"SELF, KEITH (a Representative from Texas)",2023
SELF-INSURANCE PROTECTION ACT,2023
SELF-HELP ENTERPRISES (organization),2023
SELECTIVE SERVICE SYSTEM,2023
"SELBYVILLE, DE",2023
"SELBY, LORIN",2023
"SEKELSKY, KIT",2023
"SEJBA, TIMOTHY A.",2023
"SEITZ, MARK J.",2023
"SEILER, ISAAC",2023
"SEILER, FRANK (SONNY)",2023
"SEIDE, ANAIKA",2023
"SEID, HOWARD",2023
"SEIBERT, IAN",2023
"SEGAL, GABE",2023
SEGAL AMERICORPS EDUCATION AWARD TAX RELIEF ACT,2023
SEERSUCKER THURSDAY,2023
SEERSUCKER APPRECIATION MONTH,2023
"SEEHAFER, DANIEL J.",2023
SEEDS AND BREEDS FOR THE FUTURE ACT,2023
SEEDLINGS FOR SUSTAINABLE HABITAT RESTORATION ACT,2023
SEE THE BOARD ACT,2023
"SEE SOMETHING, SAY SOMETHING ONLINE ACT",2023
SECURITY INDUSTRY AND FINANCIAL MARKETS ASSOCIATION,2023
SECURITY CLEARANCE REVOLVING DOOR ACT,2023
SECURITY AND OVERSIGHT FOR INTERNATIONAL LANDHOLDINGS (SOIL) ACT,2023
SECURITIES  related term(s)  Investments,2023
SECURITIES INVESTOR PROTECTION CORP.,2023
SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION,2023
SECURITIES EXCHANGE ACT,2023
SECURITIES CLARITY ACT,2023
SECURITIES AND EXCHANGE COMMISSION,2023
SECURITIES AND EXCHANGE COMMISSION REAL ESTATE LEASING AUTHORITY REVOCATION ACT,2023
SECURITIES ACT,2023
SECURING UNHOUSED PEOPLES’ PROGRAM FOR OUTREACH RESOURCES AND TRANSPORTATION (SUPPORT) FOR SNAP ACT,2023
SECURING THE U.S. ORGAN PROCUREMENT AND TRANSPLANTATION NETWORK ACT,2023
SECURING THE CITIES IMPROVEMENT ACT,2023
SECURING THE BORDER FOR PUBLIC HEALTH ACT,2023
SECURING SEMICONDUCTOR SUPPLY CHAINS ACT,2023
SECURING OUR SCHOOLS ACT,2023
SECURING OUR BORDERS AND WILDERNESS ACT,2023
SECURING OUR BORDER ACT,2023
SECURING OPEN SOURCE SOFTWARE ACT,2023
SECURING MARITIME DATA FROM COMMUNIST CHINA ACT,2023
SECURING GROWTH AND ROBUST LEADERSHIP IN AMERICAN AVIATION ACT,2023
SECURING GENE SYNTHESIS ACT,2023
SECURING AND ENABLING COMMERCE USING REMOTE AND ELECTRONIC (SECURE) NOTARIZATION ACT,2023
SECURING AND ENABLING COMMERCE USING REMOTE AND ELECTRONIC NOTARIZATION ACT,2023
SECURING AMERICAN CLASSROOMS ACT,2023
SECURING AMERICA’S R&D ADVANTAGE ACT,2023
SECURING AMERICA’S LAND FROM FOREIGN INTERFERENCE ACT,2023
SECURING AMERICA’S CRITICAL MINERALS SUPPLY ACT,2023
SECURING AID FOR EVERY (SAFE) SCHOOL ACT,2023
SECURING ADVANCES AND A VARIETY OF EVIDENCE-BASED IMD OPTIONS ACT,2023
SECURING ACCESS TO LOWER TAXES BY ENSURING (SALT) DEDUCTIBILITY ACT,2023
SECURE VIABLE BANKING (SVB) ACT,2023
SECURE THE BORDER ACT,2023
SECURE SPACE ACT,2023
SECURE RURAL SCHOOLS AND COMMUNITY SELF-DETERMINATION ACT,2023
SECURE AND TRUSTED COMMUNICATIONS NETWORKS ACT,2023
SECURE AND FAIR ENFORCEMENT REGULATION (SAFER) BANKING ACT,2023
SECURE AND FAIR ENFORCEMENT (SAFE) BANKING ACT,2023
SECURE AMERICA’S FINANCIAL EXCHANGES (SAFE) ACT,2023
SECURE ADJACENT FEDERAL PROPERTY ACT,2023
SECURE ACCESS FOR ESSENTIAL REPRODUCTIVE (SAFER) HEALTH ACT,2023
SECRETARY OF TRANSPORTATION (Pete Buttigieg),2023
SECRETARY OF THE INTERIOR (Debra A. Haaland),2023
SECRETARY OF STATE (Antony J. Blinken),2023
SECRETARY OF HOUSING AND URBAN DEVELOPMENT (Marcia L. Fudge),2023
SECRETARY OF HOMELAND SECURITY (Alejandro N. Mayorkas),2023
SECRETARY OF HEALTH AND HUMAN SERVICES (Xavier Becerra),2023
SECRETARY OF ENERGY (Jennifer M. Granholm),2023
SECRETARY OF EDUCATION (Miguel A. Cardona),2023
SECRETARY OF DEFENSE (Lloyd J. Austin III),2023
SECRETARY OF AGRICULTURE (Thomas J. Vilsack),2023
SECRET SERVICE,2023
SECOND CHANCE MONTH,2023
SECOND CHANCE ACT,2023
SECOND AMENDMENT FOR EVERY REGISTRABLE (SAFER) VOTER ACT,2023
"SECKINGER, FRANCES",2023
SEC WHISTLEBLOWER REFORM ACT,2023
"SEBRING, FL",2023
"SEBEWAING, MI",2023
"SEBASTIAN, FL",2023
"SEAVER, ROGER",2023
"SEATTLE, WA",2023
"SEASTRAND, ANDREA",2023
"SEASIDE PARK, NJ",2023
"SEARS, EDMUND H.",2023
"SEARD-McCORMICK, ELLICIA",2023
"SEARCY, AR",2023
"SEAGLE, JEB F.",2023
SEAFARERS INTERNATIONAL UNION,2023
"SEACE, NICOLE",2023
SEA TURTLE RESCUE ASSISTANCE ACT,2023
"SEA ISLE CITY, NJ",2023
"SDI PRESENCE, LLC",2023
"SCULLY, MICHEAL H.",2023
"SCULLEY, ROBERT J.",2023
"SCRUGGS, CARLA",2023
SCREENING FOR COMMUNITIES TO RECEIVE EARLY AND EQUITABLE NEEDED SERVICES (SCREENS) FOR CANCER ACT,2023
"SCRANTON, PA",2023
"SCOZZAFAVA, THOMAS",2023
"SCOTT, VIENNA",2023
"SCOTT, VANCE D.",2023
"SCOTT, TIM (a Senator from South Carolina)",2023
"SCOTT, THOMAS",2023
"SCOTT, SETH",2023
"SCOTT, ROBERT C. ‘‘BOBBY’’ (a Representative from Virginia)",2023
"SCOTT, RICK (a Senator from Florida)",2023
"SCOTT, JOSEPH G.",2023
"SCOTT, JOHN L., JR.",2023
"SCOTT, DAVID (a Representative from Georgia)",2023
"SCOTT COUNTY, IN",2023
"SCOTT, AUSTIN (a Representative from Georgia)",2023
SCOTLAND see United Kingdom of Great Britain and Northern Ireland,2023
SCORPION (U.S.S.),2023
SCORE ASSOCIATION,2023
"SCOBIE, DAVE",2023
"SCIONTI, MICHAEL J.",2023
"SCIO, NY",2023
SCIENTIFIC AMERICAN (publication),2023
SCIENCE  related term(s)  Engineering; Mathematics; Research; Technology,2023
SCIENCE AND TECHNOLOGY AGREEMENT ENHANCED CONGRESSIONAL NOTIFICATION ACT,2023
"SCHWEIKERT, DAVID (a Representative from Arizona)",2023
"SCHWARZ, GEORGE",2023
"SCHWARTZ, ELAINE",2023
"SCHWARTZ, DAN",2023
"SCHWAGER, DANIEL",2023
"SCHWAB, WARREN",2023
"SCHUYLER FALLS, NY",2023
"SCHUSTER, EARL (BUTCHIE)",2023
"SCHUSTER, DARIN D.",2023
"SCHUMER, HENRY",2023
"SCHUMER, CHARLES E. (a Senator from New York)",2023
SCHUMACHTER ELEVATOR CO.,2023
"SCHULZE, RICHARD T. (a former Representative from Pennsylvania)",2023
"SCHULZ, KELLY",2023
"SCHULTZ, TANNER",2023
"SCHROEDER, PATRICIA (a former Representative from Colorado)",2023
"SCHROEDER, NICHOLAS",2023
"SCHROEDER, KYLE J.",2023
"SCHROEDER, KENNETH G., JR.",2023
"SCHRIVER, RANDALL",2023
"SCHRIER, KIM (a Representative from Washington)",2023
SCHREINER UNIVERSITY,2023
"SCHREINER, JAMES L.",2023
"SCHRECENGOST, JORDAN",2023
"SCHRAP, JOHANN",2023
"SCHRAMKO, MARY",2023
"SCHRAGE, COLIN",2023
"SCHRADER, SHELLY AND TODD",2023
"SCHOPLER, ANDREW G.",2023
"SCHOONER, SUE",2023
SCHOOLS  related term(s)  Education,2023
SCHOOLS NOT SHELTERS ACT,2023
SCHOOL SUPERINTENDENTS ASSOCIATION,2023
